,nazov
2023-10-22,29. nedeľa v Cezročnom období [Zelená]
2023-10-23,"Pondelok 29. týždňa v Cezročnom období [Zelená] alebo Svätého Jána Kapistránskeho, kňaza [Biela] (ľubovoľná spomienka)"
2023-10-24,"Utorok 29. týždňa v Cezročnom období [Zelená] alebo Svätého Antona Máriu Clareta, biskupa [Biela] (ľubovoľná spomienka)"
2023-10-25,"Streda 29. týždňa v Cezročnom období [Zelená] alebo Svätého Maura, biskupa [Biela] (ľubovoľná spomienka)"
2023-10-26,Štvrtok 29. týždňa v Cezročnom období [Zelená]
2023-10-27,Piatok 29. týždňa v Cezročnom období [Zelená]
2023-10-28,"Svätých Šimona a Júdu, apoštolov [Červená] (sviatok)"
2023-10-29,30. nedeľa v Cezročnom období [Zelená]
2023-10-30,Pondelok 30. týždňa v Cezročnom období [Zelená]
2023-10-31,Utorok 30. týždňa v Cezročnom období [Zelená]
2023-11-01,PRIKÁZANÁ SLÁVNOSŤ: Všetkých svätých [Biela] (slávnosť)
2023-11-02,Spomienka na Všetkých zosnulých veriacich [Fialová] (spomienka)
2023-11-03,"Piatok 30. týždňa v Cezročnom období [Zelená] alebo Svätého Martina de Porres, rehoľníka [Biela] (ľubovoľná spomienka)"
2023-11-04,"Svätého Karola Boromejského, biskupa [Biela] (spomienka)"
2023-11-05,31. nedeľa v Cezročnom období [Zelená]
2023-11-06,Pondelok 31. týždňa v Cezročnom období [Zelená]
2023-11-07,Utorok 31. týždňa v Cezročnom období [Zelená]
2023-11-08,Streda 31. týždňa v Cezročnom období [Zelená]
2023-11-09,Výročie posviacky Lateránskej baziliky [Biela] (sviatok)
2023-11-10,"Svätého Leva Veľkého, pápeža a učiteľa Cirkvi [Biela] (spomienka)"
2023-11-11,"Svätého Martina z Tours, biskupa [Biela] (spomienka)"
2023-11-12,32. nedeľa v Cezročnom období [Zelená]
2023-11-13,Pondelok 32. týždňa v Cezročnom období [Zelená]
2023-11-14,Utorok 32. týždňa v Cezročnom období [Zelená]
2023-11-15,"Streda 32. týždňa v Cezročnom období [Zelená] alebo Svätého Alberta Veľkého, biskupa a učiteľa Cirkvi [Biela] (ľubovoľná spomienka)"
2023-11-16,"Štvrtok 32. týždňa v Cezročnom období [Zelená] alebo Svätej Margity Škótskej [Biela] alebo Svätej Gertrúdy, panny [Biela] (ľubovoľná spomienka)"
2023-11-17,"Svätej Alžbety Uhorskej, rehoľníčky [Biela] (spomienka)"
2023-11-18,"Sobota 32. týždňa v Cezročnom období [Zelená] alebo Výročie posviacky bazilík svätých Petra a Pavla, apoštolov [Biela] alebo Preblahoslavenej Panny Márie v sobotu [Biela] (ľubovoľná spomienka)"
2023-11-19,33. nedeľa v Cezročnom období [Zelená]
2023-11-20,Pondelok 33. týždňa v Cezročnom období [Zelená]
2023-11-21,Obetovanie preblahoslavenej Panny Márie [Biela] (spomienka)
2023-11-22,"Svätej Cecílie, panny a mučenice [Červená] (spomienka)"
2023-11-23,"Štvrtok 33. týždňa v Cezročnom období [Zelená] alebo Svätého Klementa I., pápeža a mučeníka [Červená] alebo Svätého Kolumbána, opáta [Biela] (ľubovoľná spomienka)"
2023-11-24,"Svätých Ondreja Dung-Laka, kňaza, a spoločníkov, mučeníkov [Červená] (spomienka)"
2023-11-25,"Sobota 33. týždňa v Cezročnom období [Zelená] alebo Svätej Kataríny Alexandrijskej, panny a mučenice [Červená] alebo Preblahoslavenej Panny Márie v sobotu [Biela] (ľubovoľná spomienka)"
2023-11-26,"34. nedeľa v Cezročnom období – Nášho Pána Ježiša Krista, Kráľa neba i zeme [Biela] (slávnosť)"
2023-11-27,Pondelok 34. týždňa v Cezročnom období [Zelená]
2023-11-28,Utorok 34. týždňa v Cezročnom období [Zelená]
2023-11-29,Streda 34. týždňa v Cezročnom období [Zelená]
2023-11-30,"Svätého Ondreja, apoštola [Červená] (sviatok)"
2023-12-01,Piatok 34. týždňa v Cezročnom období [Zelená]
2023-12-02,Sobota 34. týždňa v Cezročnom období [Zelená] alebo Preblahoslavenej Panny Márie v sobotu [Biela] (ľubovoľná spomienka)
2023-12-03,"1. adventná nedeľa [rok B, cyklus II.] [Fialová]"
2023-12-04,"Pondelok po 1. adventnej nedeli [Fialová] alebo Svätého Jána Damascénskeho, kňaza a učiteľa Cirkvi [Biela] alebo Svätej Barbory, panny a mučenice [Červená] (ľubovoľná spomienka)"
2023-12-05,Utorok po 1. adventnej nedeli [Fialová]
2023-12-06,"Streda po 1. adventnej nedeli [Fialová] alebo Svätého Mikuláša, biskupa [Biela] (ľubovoľná spomienka)"
2023-12-07,"Svätého Ambróza, biskupa a učiteľa Cirkvi [Biela] (spomienka)"
2023-12-08,PRIKÁZANÁ SLÁVNOSŤ: Nepoškvrnené počatie Preblahoslavenej Panny Márie [Biela] (slávnosť)
2023-12-09,Sobota po 1. adventnej nedeli [Fialová] alebo Svätého Jána Diega Cuauhtlatoatzina [Biela] (ľubovoľná spomienka)
2023-12-10,2. adventná nedeľa [Fialová]
2023-12-11,"Pondelok po 2. adventnej nedeli [Fialová] alebo Svätého Damaza I., pápeža [Biela] (ľubovoľná spomienka)"
2023-12-12,Utorok po 2. adventnej nedeli [Fialová] alebo Preblahoslavenej Panny Márie Guadalupskej [Biela] (ľubovoľná spomienka)
2023-12-13,"Svätej Lucie, panny a mučenice [Červená] (spomienka)"
2023-12-14,"Svätého Jána od Kríža, kňaza a učiteľa Cirkvi [Biela] (spomienka)"
2023-12-15,Piatok po 2. adventnej nedeli [Fialová]
2023-12-16,Sobota po 2. adventnej nedeli [Fialová]
2023-12-17,3. adventná nedeľa [Ružová] [Fialová]
2023-12-18,Pondelok po 3. adventnej nedeli [Fialová]
2023-12-19,Utorok po 3. adventnej nedeli [Fialová]
2023-12-20,Streda po 3. adventnej nedeli [Fialová]
2023-12-21,Štvrtok po 3. adventnej nedeli [Fialová]
2023-12-22,Piatok po 3. adventnej nedeli [Fialová]
2023-12-23,Sobota po 3. adventnej nedeli [Fialová]
2023-12-24,4. adventná nedeľa [Fialová]
2023-12-25,PRIKÁZANÁ SLÁVNOSŤ: Narodenie Pána [Biela] (slávnosť)
2023-12-26,"Svätého Štefana, prvého mučeníka [Červená] (sviatok)"
2023-12-27,"Svätého Jána, apoštola a evanjelistu [Biela] (sviatok)"
2023-12-28,"Svätých Neviniatok, mučeníkov [Červená] (sviatok)"
2023-12-29,Piaty deň v oktáve narodenia Pána [Biela]
2023-12-30,Šiesty deň v oktáve narodenia Pána [Biela]
2023-12-31,"Svätej rodiny – Ježiša, Márie a Jozefa [Biela] (sviatok)"
