,nazov
2023-03-16,Štvrtok po 3. pôstnej nedeli [Fialová]
2023-03-17,Piatok po 3. pôstnej nedeli [Fialová]
2023-03-18,Sobota po 3. pôstnej nedeli [Fialová]
2023-03-19,4. pôstna nedeľa [Ružová] [Fialová]
2023-03-20,"Svätého Jozefa, ženícha Panny Márie [Biela] (slávnosť preložená z nedele)"
2023-03-21,Utorok po 4. pôstnej nedeli [Fialová]
2023-03-22,Streda po 4. pôstnej nedeli [Fialová]
2023-03-23,Štvrtok po 4. pôstnej nedeli [Fialová]
2023-03-24,Piatok po 4. pôstnej nedeli [Fialová]
2023-03-25,Zvestovanie Pána [Biela] (slávnosť)
2023-03-26,5. pôstna nedeľa [Fialová]
2023-03-27,Pondelok po 5. pôstnej nedeli [Fialová]
2023-03-28,Utorok po 5. pôstnej nedeli [Fialová]
2023-03-29,Streda po 5. pôstnej nedeli [Fialová]
2023-03-30,Štvrtok po 5. pôstnej nedeli [Fialová]
2023-03-31,Piatok po 5. pôstnej nedeli [Fialová]
2023-04-01,Sobota po 5. pôstnej nedeli [Fialová]
2023-04-02,Palmová (Kvetná) nedeľa – Nedeľa utrpenia Pána [Červená]
2023-04-03,Pondelok Svätého týždňa [Fialová]
2023-04-04,Utorok Svätého týždňa [Fialová]
2023-04-05,Streda Svätého týždňa [Fialová]
2023-04-06,Štvrtok Svätého týždňa – Zelený štvrtok [Fialová]
2023-04-07,Piatok utrpenia Pána (Veľký piatok) – slávenie utrpenia a smrti Pána [Červená]
2023-04-08,Biela sobota
2023-04-09,PRIKÁZANÁ SLÁVNOSŤ: Veľkonočná nedeľa Pánovho zmŕtvychvstania [Biela] (slávnosť s oktávou)
2023-04-10,Pondelok vo Veľkonočnej oktáve [Biela]
2023-04-11,Utorok vo Veľkonočnej oktáve [Biela]
2023-04-12,Streda vo Veľkonočnej oktáve [Biela]
2023-04-13,Štvrtok vo Veľkonočnej oktáve [Biela]
2023-04-14,Piatok vo Veľkonočnej oktáve [Biela]
2023-04-15,Sobota vo Veľkonočnej oktáve [Biela]
2023-04-16,2. Veľkonočná nedeľa alebo Nedeľa Božieho milosrdenstva [Biela]
2023-04-17,Pondelok po 2. veľkonočnej nedeli [Biela]
2023-04-18,Utorok po 2. veľkonočnej nedeli [Biela]
2023-04-19,Streda po 2. veľkonočnej nedeli [Biela]
2023-04-20,Štvrtok po 2. veľkonočnej nedeli [Biela]
2023-04-21,"Piatok po 2. veľkonočnej nedeli [Biela] alebo Svätého Anzelma, biskupa a učiteľa Cirkvi [Biela] (ľubovoľná spomienka)"
2023-04-22,Sobota po 2. veľkonočnej nedeli [Biela]
2023-04-23,3. veľkonočná nedeľa [Biela]
2023-04-24,"Pondelok po 3. veľkonočnej nedeli [Biela] alebo Svätého Juraja, mučeníka [Červená] alebo Svätého Fidéla zo Sigmaringenu, kňaza a mučeníka [Červená] (ľubovoľná spomienka)"
2023-04-25,"Svätého Marka, evanjelistu [Červená] (sviatok)"
2023-04-26,Streda po 3. veľkonočnej nedeli [Biela]
2023-04-27,Štvrtok po 3. veľkonočnej nedeli [Biela]
